Name,Montesinos fraction
"[K13a2191(0,0)]","[(0, 1), (2, 3), (2, 3), (9, 13)]"
"[K13a2224(0,0)]","[(0, 1), (2, 3), (5, 7), (4, 5)]"
"[K13a2229(0,0)]","[(0, 1), (2, 3), (2, 7), (1, 5)]"
"[K13a2236(0,0)]","[(0, 1), (1, 3), (3, 5), (3, 11)]"
"[K13a2244(0,0)]","[(0, 1), (1, 3), (2, 5), (8, 11)]"
"[K13a2247(0,0)]","[(0, 1), (1, 3), (2, 7), (2, 7)]"
"[K13a2250(0,0)]","[(0, 1), (1, 3), (5, 7), (5, 7)]"
"[K13a2269(0,0)]","[(0, 1), (2, 3), (2, 5), (3, 10)]"
"[K13a2270(0,0)]","[(0, 1), (2, 3), (2, 3), (5, 14)]"
"[K13a2271(0,0)]","[(0, 1), (2, 3), (2, 3), (7, 18)]"
"[K13a2278(0,0)]","[(0, 1), (2, 3), (1, 3), (11, 6)]"
"[K13a2279(0,0)]","[(0, 1), (2, 3), (1, 3), (17, 10)]"
"[K13a2285(0,0)]","[(0, 1), (1, 3), (2, 5), (1, 6)]"
"[K13a2286(0,0)]","[(0, 1), (1, 3), (2, 5), (3, 10)]"
"[K13a2287(0,0)]","[(0, 1), (1, 3), (2, 5), (7, 10)]"
"[K13a2312(0,0)]","[(0, 1), (1, 2), (1, 3), (11, 13)]"
"[K13a2317(0,0)]","[(0, 1), (1, 3), (2, 5), (5, 6)]"
"[K13a238(0,0)]","[(0, 1), (1, 2), (2, 3), (7, 23)]"
"[K13a240(0,0)]","[(0, 1), (1, 2), (2, 3), (19, 31)]"
"[K13a2427(0,0)]","[(0, 1), (2, 3), (2, 5), (1, 6)]"
"[K13a2436(0,0)]","[(0, 1), (1, 3), (1, 3), (5, 17)]"
"[K13a2444(0,0)]","[(0, 1), (1, 3), (3, 4), (9, 7)]"
"[K13a2451(0,0)]","[(0, 1), (1, 2), (1, 3), (17, 13)]"
"[K13a2452(0,0)]","[(0, 1), (1, 2), (1, 3), (19, 15)]"
"[K13a2462(0,0)]","[(0, 1), (1, 3), (1, 4), (2, 9)]"
"[K13a2463(0,0)]","[(0, 1), (1, 3), (3, 4), (2, 9)]"
"[K13a2473(0,0)]","[(0, 1), (2, 3), (1, 3), (13, 10)]"
"[K13a2474(0,0)]","[(0, 1), (1, 3), (1, 3), (3, 14)]"
"[K13a251(0,0)]","[(0, 1), (1, 2), (2, 3), (16, 23)]"
"[K13a252(0,0)]","[(0, 1), (1, 2), (2, 3), (16, 25)]"
"[K13a2568(0,0)]","[(0, 1), (1, 2), (1, 3), (2, 13)]"
"[K13a257(0,0)]","[(0, 1), (1, 2), (2, 3), (19, 27)]"
"[K13a2573(0,0)]","[(0, 1), (1, 3), (1, 4), (9, 7)]"
"[K13a258(0,0)]","[(0, 1), (1, 2), (2, 3), (15, 19)]"
"[K13a2583(0,0)]","[(0, 1), (2, 3), (1, 3), (7, 6)]"
"[K13a259(0,0)]","[(0, 1), (1, 2), (2, 3), (21, 29)]"
"[K13a26(0,0)]","[(0, 1), (1, 2), (3, 5), (11, 9)]"
"[K13a261(0,0)]","[(0, 1), (1, 2), (2, 3), (9, 25)]"
"[K13a2614(0,0)]","[(0, 1), (1, 2), (1, 3), (2, 3), (4, 5)]"
"[K13a2615(0,0)]","[(0, 1), (1, 2), (1, 3), (2, 3), (4, 7)]"
"[K13a2616(0,0)]","[(0, 1), (1, 2), (1, 3), (2, 3), (1, 5)]"
"[K13a2617(0,0)]","[(0, 1), (1, 2), (1, 3), (2, 3), (3, 7)]"
"[K13a2618(0,0)]","[(0, 1), (1, 2), (1, 3), (2, 3), (7, 3)]"
"[K13a2619(0,0)]","[(0, 1), (1, 2), (1, 3), (3, 5), (4, 3)]"
"[K13a2620(0,0)]","[(0, 1), (1, 2), (1, 3), (2, 5), (4, 3)]"
"[K13a263(0,0)]","[(0, 1), (1, 2), (2, 3), (20, 11)]"
"[K13a264(0,0)]","[(0, 1), (1, 2), (2, 3), (17, 29)]"
"[K13a267(0,0)]","[(0, 1), (1, 2), (2, 3), (13, 17)]"
"[K13a2681(0,0)]","[(0, 1), (2, 3), (1, 3), (18, 5)]"
"[K13a2682(0,0)]","[(0, 1), (1, 3), (3, 5), (13, 5)]"
"[K13a2691(0,0)]","[(0, 1), (2, 3), (2, 3), (13, 3)]"
"[K13a2694(0,0)]","[(0, 1), (2, 3), (1, 3), (18, 7)]"
"[K13a2695(0,0)]","[(0, 1), (2, 3), (2, 3), (17, 7)]"
"[K13a2706(0,0)]","[(0, 1), (1, 3), (2, 5), (12, 5)]"
"[K13a2707(0,0)]","[(0, 1), (2, 3), (3, 5), (10, 7)]"
"[K13a2708(0,0)]","[(0, 1), (1, 3), (3, 5), (11, 7)]"
"[K13a2710(0,0)]","[(0, 1), (2, 3), (1, 3), (14, 5)]"
"[K13a2711(0,0)]","[(0, 1), (1, 3), (1, 3), (21, 13)]"
"[K13a2714(0,0)]","[(0, 1), (2, 3), (1, 3), (14, 9)]"
"[K13a2715(0,0)]","[(0, 1), (2, 3), (1, 3), (18, 11)]"
"[K13a2720(0,0)]","[(0, 1), (2, 3), (2, 3), (1, 3), (4, 3)]"
"[K13a2727(0,0)]","[(0, 1), (2, 3), (1, 3), (2, 3), (4, 3)]"
"[K13a2730(0,0)]","[(0, 1), (1, 3), (1, 3), (11, 14)]"
"[K13a2732(0,0)]","[(0, 1), (1, 3), (3, 5), (9, 5)]"
"[K13a2733(0,0)]","[(0, 1), (2, 3), (3, 5), (6, 5)]"
"[K13a2735(0,0)]","[(0, 1), (2, 3), (2, 3), (11, 5)]"
"[K13a2745(0,0)]","[(0, 1), (1, 3), (1, 3), (13, 21)]"
"[K13a2748(0,0)]","[(0, 1), (1, 3), (1, 3), (11, 19)]"
"[K13a2767(0,0)]","[(0, 1), (1, 3), (1, 3), (7, 19)]"
"[K13a2772(0,0)]","[(0, 1), (1, 3), (1, 3), (13, 18)]"
"[K13a2779(0,0)]","[(0, 1), (1, 3), (5, 8), (4, 5)]"
"[K13a2780(0,0)]","[(0, 1), (1, 3), (5, 8), (4, 7)]"
"[K13a2781(0,0)]","[(0, 1), (1, 3), (3, 8), (4, 5)]"
"[K13a2782(0,0)]","[(0, 1), (1, 3), (3, 8), (4, 7)]"
"[K13a2783(0,0)]","[(0, 1), (1, 3), (5, 8), (1, 5)]"
"[K13a2784(0,0)]","[(0, 1), (1, 3), (5, 8), (3, 7)]"
"[K13a2785(0,0)]","[(0, 1), (1, 3), (1, 3), (21, 8)]"
"[K13a2796(0,0)]","[(0, 1), (1, 3), (3, 5), (5, 9)]"
"[K13a2797(0,0)]","[(0, 1), (1, 3), (3, 5), (7, 11)]"
"[K13a2798(0,0)]","[(0, 1), (2, 3), (1, 3), (6, 11)]"
"[K13a2799(0,0)]","[(0, 1), (2, 3), (1, 3), (10, 17)]"
"[K13a2800(0,0)]","[(0, 1), (2, 3), (1, 3), (1, 3), (3, 5)]"
"[K13a2801(0,0)]","[(0, 1), (1, 3), (2, 3), (1, 3), (3, 5)]"
"[K13a2804(0,0)]","[(0, 1), (1, 3), (2, 5), (4, 9)]"
"[K13a2805(0,0)]","[(0, 1), (1, 3), (2, 5), (4, 11)]"
"[K13a2806(0,0)]","[(0, 1), (3, 5), (3, 5), (3, 7)]"
"[K13a2807(0,0)]","[(0, 1), (2, 3), (1, 3), (10, 13)]"
"[K13a2810(0,0)]","[(0, 1), (3, 5), (3, 5), (1, 5)]"
"[K13a2811(0,0)]","[(0, 1), (2, 3), (1, 3), (6, 7)]"
"[K13a2815(0,0)]","[(0, 1), (2, 3), (4, 7), (3, 7)]"
"[K13a2816(0,0)]","[(0, 1), (2, 5), (2, 5), (3, 7)]"
"[K13a2817(0,0)]","[(0, 1), (2, 3), (3, 7), (4, 5)]"
"[K13a2821(0,0)]","[(0, 1), (2, 3), (2, 3), (5, 11)]"
"[K13a2822(0,0)]","[(0, 1), (2, 3), (2, 3), (7, 17)]"
"[K13a2832(0,0)]","[(0, 1), (1, 3), (1, 3), (19, 7)]"
"[K13a2841(0,0)]","[(0, 1), (1, 3), (1, 3), (19, 11)]"
"[K13a2850(0,0)]","[(0, 1), (2, 3), (4, 7), (1, 5)]"
"[K13a2856(0,0)]","[(0, 1), (1, 2), (1, 3), (22, 13)]"
"[K13a2857(0,0)]","[(0, 1), (1, 2), (1, 3), (26, 15)]"
"[K13a2864(0,0)]","[(0, 1), (1, 3), (1, 3), (19, 12)]"
"[K13a2872(0,0)]","[(0, 1), (1, 3), (1, 3), (9, 16)]"
"[K13a288(0,0)]","[(0, 1), (1, 2), (2, 3), (8, 27)]"
"[K13a2882(0,0)]","[(0, 1), (2, 3), (2, 3), (3, 13)]"
"[K13a289(0,0)]","[(0, 1), (1, 2), (2, 3), (8, 29)]"
"[K13a2891(0,0)]","[(0, 1), (2, 5), (2, 5), (1, 5)]"
"[K13a2892(0,0)]","[(0, 1), (2, 3), (2, 3), (1, 7)]"
"[K13a2907(0,0)]","[(0, 1), (2, 3), (4, 5), (1, 5)]"
"[K13a2910(0,0)]","[(0, 1), (1, 3), (2, 7), (4, 7)]"
"[K13a2911(0,0)]","[(0, 1), (1, 3), (5, 7), (3, 7)]"
"[K13a2916(0,0)]","[(0, 1), (1, 3), (2, 7), (4, 5)]"
"[K13a2917(0,0)]","[(0, 1), (1, 3), (5, 7), (1, 5)]"
"[K13a2936(0,0)]","[(0, 1), (1, 2), (1, 3), (29, 11)]"
"[K13a2937(0,0)]","[(0, 1), (1, 2), (1, 3), (13, 7)]"
"[K13a2938(0,0)]","[(0, 1), (1, 2), (1, 3), (23, 13)]"
"[K13a2939(0,0)]","[(0, 1), (1, 2), (1, 3), (27, 17)]"
"[K13a2943(0,0)]","[(0, 1), (1, 3), (3, 8), (1, 5)]"
"[K13a2944(0,0)]","[(0, 1), (1, 3), (3, 8), (3, 7)]"
"[K13a296(0,0)]","[(0, 1), (1, 2), (2, 3), (12, 31)]"
"[K13a2966(0,0)]","[(0, 1), (1, 2), (1, 3), (23, 9)]"
"[K13a2967(0,0)]","[(0, 1), (1, 2), (1, 3), (17, 11)]"
"[K13a298(0,0)]","[(0, 1), (1, 2), (2, 3), (25, 9)]"
"[K13a299(0,0)]","[(0, 1), (1, 2), (2, 3), (29, 17)]"
"[K13a300(0,0)]","[(0, 1), (1, 2), (2, 3), (31, 19)]"
"[K13a3004(0,0)]","[(0, 1), (1, 3), (1, 3), (9, 11)]"
"[K13a3006(0,0)]","[(0, 1), (1, 2), (1, 3), (26, 11)]"
"[K13a3007(0,0)]","[(0, 1), (1, 2), (4, 5), (9, 5)]"
"[K13a3008(0,0)]","[(0, 1), (1, 2), (4, 7), (9, 5)]"
"[K13a3009(0,0)]","[(0, 1), (1, 2), (4, 7), (11, 7)]"
"[K13a3010(0,0)]","[(0, 1), (1, 2), (4, 5), (6, 5)]"
"[K13a3011(0,0)]","[(0, 1), (1, 2), (4, 7), (6, 5)]"
"[K13a3012(0,0)]","[(0, 1), (1, 2), (3, 7), (9, 5)]"
"[K13a3013(0,0)]","[(0, 1), (1, 2), (4, 7), (10, 7)]"
"[K13a3015(0,0)]","[(0, 1), (1, 3), (1, 3), (19, 8)]"
"[K13a3016(0,0)]","[(0, 1), (1, 2), (1, 3), (19, 5)]"
"[K13a3017(0,0)]","[(0, 1), (1, 2), (1, 3), (25, 7)]"
"[K13a3018(0,0)]","[(0, 1), (1, 3), (1, 3), (7, 16)]"
"[K13a3030(0,0)]","[(0, 1), (1, 2), (1, 3), (22, 9)]"
"[K13a3038(0,0)]","[(0, 1), (1, 2), (1, 3), (2, 7), (1, 3)]"
"[K13a3040(0,0)]","[(0, 1), (1, 2), (1, 3), (5, 7), (1, 3)]"
"[K13a3071(0,0)]","[(0, 1), (1, 3), (2, 3), (1, 3), (3, 4)]"
"[K13a3072(0,0)]","[(0, 1), (1, 3), (2, 3), (1, 3), (1, 4)]"
"[K13a3095(0,0)]","[(0, 1), (1, 3), (1, 3), (17, 5)]"
"[K13a3098(0,0)]","[(0, 1), (1, 3), (2, 5), (10, 7)]"
"[K13a31(0,0)]","[(0, 1), (1, 2), (3, 5), (13, 21)]"
"[K13a3100(0,0)]","[(0, 1), (1, 3), (2, 5), (6, 5)]"
"[K13a3101(0,0)]","[(0, 1), (1, 3), (1, 3), (17, 12)]"
"[K13a3107(0,0)]","[(0, 1), (1, 3), (1, 3), (1, 3), (2, 5)]"
"[K13a3110(0,0)]","[(0, 1), (1, 2), (1, 3), (8, 7)]"
"[K13a3111(0,0)]","[(0, 1), (1, 2), (1, 3), (16, 13)]"
"[K13a3112(0,0)]","[(0, 1), (1, 2), (1, 3), (24, 17)]"
"[K13a3121(0,0)]","[(0, 1), (1, 3), (1, 3), (11, 9)]"
"[K13a3123(0,0)]","[(0, 1), (1, 2), (1, 3), (16, 11)]"
"[K13a3132(0,0)]","[(0, 1), (1, 2), (1, 5), (6, 5)]"
"[K13a3133(0,0)]","[(0, 1), (1, 2), (3, 7), (6, 5)]"
"[K13a3134(0,0)]","[(0, 1), (1, 2), (3, 7), (10, 7)]"
"[K13a3135(0,0)]","[(0, 1), (1, 2), (1, 3), (16, 5)]"
"[K13a3136(0,0)]","[(0, 1), (1, 2), (1, 3), (24, 7)]"
"[K13a3140(0,0)]","[(0, 1), (1, 2), (1, 3), (1, 3), (7, 3)]"
"[K13a3141(0,0)]","[(0, 1), (1, 2), (1, 3), (16, 3)]"
"[K13a32(0,0)]","[(0, 1), (1, 2), (3, 5), (5, 17)]"
"[K13a3215(0,0)]","[(0, 1), (1, 2), (1, 3), (15, 19)]"
"[K13a3218(0,0)]","[(0, 1), (1, 2), (1, 3), (13, 17)]"
"[K13a3244(0,0)]","[(0, 1), (1, 2), (1, 3), (4, 19)]"
"[K13a327(0,0)]","[(0, 1), (1, 2), (2, 3), (4, 19)]"
"[K13a3270(0,0)]","[(0, 1), (1, 2), (1, 3), (4, 17)]"
"[K13a3308(0,0)]","[(0, 1), (1, 2), (1, 3), (18, 25)]"
"[K13a3309(0,0)]","[(0, 1), (1, 2), (1, 3), (14, 23)]"
"[K13a3310(0,0)]","[(0, 1), (1, 2), (1, 3), (18, 29)]"
"[K13a3311(0,0)]","[(0, 1), (1, 2), (1, 3), (7, 25)]"
"[K13a3312(0,0)]","[(0, 1), (1, 2), (1, 3), (11, 17)]"
"[K13a3313(0,0)]","[(0, 1), (1, 2), (1, 3), (17, 27)]"
"[K13a3314(0,0)]","[(0, 1), (1, 2), (1, 3), (9, 23)]"
"[K13a3315(0,0)]","[(0, 1), (1, 2), (1, 3), (11, 29)]"
"[K13a3316(0,0)]","[(0, 1), (1, 2), (1, 3), (5, 19)]"
"[K13a3318(0,0)]","[(0, 1), (1, 2), (1, 3), (14, 19)]"
"[K13a3319(0,0)]","[(0, 1), (1, 2), (1, 3), (13, 23)]"
"[K13a332(0,0)]","[(0, 1), (1, 2), (2, 3), (29, 21)]"
"[K13a3322(0,0)]","[(0, 1), (1, 2), (1, 3), (7, 13)]"
"[K13a3326(0,0)]","[(0, 1), (1, 2), (1, 3), (6, 17)]"
"[K13a3327(0,0)]","[(0, 1), (1, 2), (1, 3), (10, 27)]"
"[K13a333(0,0)]","[(0, 1), (1, 2), (2, 3), (17, 13)]"
"[K13a3333(0,0)]","[(0, 1), (1, 2), (1, 3), (4, 5), (1, 3)]"
"[K13a3334(0,0)]","[(0, 1), (1, 2), (1, 3), (4, 7), (1, 3)]"
"[K13a3337(0,0)]","[(0, 1), (1, 2), (1, 3), (10, 23)]"
"[K13a334(0,0)]","[(0, 1), (1, 2), (2, 3), (19, 15)]"
"[K13a3342(0,0)]","[(0, 1), (1, 2), (1, 3), (6, 13)]"
"[K13a3343(0,0)]","[(0, 1), (1, 2), (1, 3), (1, 3), (4, 5)]"
"[K13a3344(0,0)]","[(0, 1), (1, 2), (1, 3), (1, 3), (4, 7)]"
"[K13a3377(0,0)]","[(0, 1), (1, 2), (1, 3), (1, 5), (1, 3)]"
"[K13a3378(0,0)]","[(0, 1), (1, 2), (1, 3), (3, 7), (1, 3)]"
"[K13a3380(0,0)]","[(0, 1), (1, 2), (1, 3), (1, 3), (1, 5)]"
"[K13a3381(0,0)]","[(0, 1), (1, 2), (1, 3), (1, 3), (3, 7)]"
"[K13a343(0,0)]","[(0, 1), (1, 2), (2, 3), (5, 7), (2, 3)]"
"[K13a3431(0,0)]","[(0, 1), (1, 2), (4, 5), (7, 11)]"
"[K13a3432(0,0)]","[(0, 1), (1, 2), (4, 7), (7, 11)]"
"[K13a3433(0,0)]","[(0, 1), (1, 2), (1, 5), (7, 11)]"
"[K13a3434(0,0)]","[(0, 1), (1, 2), (3, 7), (7, 11)]"
"[K13a3451(0,0)]","[(0, 1), (1, 2), (4, 5), (5, 9)]"
"[K13a3452(0,0)]","[(0, 1), (1, 2), (4, 5), (4, 11)]"
"[K13a3453(0,0)]","[(0, 1), (1, 2), (4, 5), (4, 9)]"
"[K13a3454(0,0)]","[(0, 1), (1, 2), (4, 7), (5, 9)]"
"[K13a3455(0,0)]","[(0, 1), (1, 2), (4, 7), (4, 11)]"
"[K13a3456(0,0)]","[(0, 1), (1, 2), (4, 7), (4, 9)]"
"[K13a3460(0,0)]","[(0, 1), (1, 2), (1, 5), (4, 11)]"
"[K13a3461(0,0)]","[(0, 1), (1, 2), (3, 7), (4, 11)]"
"[K13a352(0,0)]","[(0, 1), (1, 2), (2, 3), (20, 9)]"
"[K13a355(0,0)]","[(0, 1), (1, 2), (2, 3), (2, 7), (2, 3)]"
"[K13a3592(0,0)]","[(0, 1), (1, 2), (3, 7), (5, 9)]"
"[K13a3593(0,0)]","[(0, 1), (1, 2), (3, 7), (4, 9)]"
"[K13a36(0,0)]","[(0, 1), (1, 2), (3, 5), (16, 9)]"
"[K13a360(0,0)]","[(0, 1), (1, 2), (2, 3), (2, 7), (1, 3)]"
"[K13a3602(0,0)]","[(0, 1), (1, 2), (1, 5), (5, 9)]"
"[K13a367(0,0)]","[(0, 1), (1, 2), (2, 3), (12, 29)]"
"[K13a37(0,0)]","[(0, 1), (1, 2), (3, 5), (12, 17)]"
"[K13a371(0,0)]","[(0, 1), (1, 2), (2, 3), (23, 7)]"
"[K13a38(0,0)]","[(0, 1), (1, 2), (3, 5), (12, 19)]"
"[K13a380(0,0)]","[(0, 1), (1, 2), (2, 3), (4, 17)]"
"[K13a383(0,0)]","[(0, 1), (1, 2), (2, 3), (27, 19)]"
"[K13a3852(0,0)]","[(0, 1), (1, 2), (1, 5), (4, 9)]"
"[K13a3878(0,0)]","[(0, 1), (1, 3), (3, 4), (7, 11)]"
"[K13a3880(0,0)]","[(0, 1), (1, 3), (1, 4), (7, 11)]"
"[K13a3895(0,0)]","[(0, 1), (1, 3), (3, 4), (9, 5)]"
"[K13a3897(0,0)]","[(0, 1), (1, 3), (3, 4), (11, 7)]"
"[K13a3899(0,0)]","[(0, 1), (1, 3), (1, 4), (4, 11)]"
"[K13a39(0,0)]","[(0, 1), (1, 2), (3, 5), (11, 19)]"
"[K13a390(0,0)]","[(0, 1), (1, 2), (2, 3), (3, 5), (2, 5)]"
"[K13a3900(0,0)]","[(0, 1), (1, 3), (3, 4), (4, 11)]"
"[K13a3914(0,0)]","[(0, 1), (1, 3), (1, 4), (9, 5)]"
"[K13a3916(0,0)]","[(0, 1), (1, 3), (1, 4), (11, 7)]"
"[K13a396(0,0)]","[(0, 1), (1, 2), (2, 3), (2, 3), (5, 7)]"
"[K13a399(0,0)]","[(0, 1), (1, 2), (2, 3), (2, 5), (2, 5)]"
"[K13a40(0,0)]","[(0, 1), (1, 2), (3, 5), (9, 13)]"
"[K13a402(0,0)]","[(0, 1), (1, 2), (2, 3), (2, 3), (2, 7)]"
"[K13a403(0,0)]","[(0, 1), (1, 2), (2, 3), (2, 5), (5, 3)]"
"[K13a408(0,0)]","[(0, 1), (1, 2), (2, 3), (2, 3), (7, 5)]"
"[K13a41(0,0)]","[(0, 1), (1, 2), (3, 5), (11, 15)]"
"[K13a414(0,0)]","[(0, 1), (1, 2), (2, 3), (1, 3), (2, 7)]"
"[K13a417(0,0)]","[(0, 1), (1, 2), (2, 5), (9, 11)]"
"[K13a42(0,0)]","[(0, 1), (1, 2), (3, 5), (7, 19)]"
"[K13a4261(0,0)]","[(0, 1), (1, 3), (3, 4), (5, 9)]"
"[K13a4263(0,0)]","[(0, 1), (1, 3), (1, 4), (5, 9)]"
"[K13a4273(0,0)]","[(0, 1), (1, 3), (1, 4), (4, 9)]"
"[K13a4274(0,0)]","[(0, 1), (1, 3), (3, 4), (4, 9)]"
"[K13a428(0,0)]","[(0, 1), (1, 2), (2, 5), (2, 11)]"
"[K13a4306(0,0)]","[(0, 1), (1, 3), (1, 3), (11, 18)]"
"[K13a4310(0,0)]","[(0, 1), (1, 3), (4, 7), (4, 7)]"
"[K13a4311(0,0)]","[(0, 1), (1, 3), (4, 7), (4, 5)]"
"[K13a432(0,0)]","[(0, 1), (1, 2), (2, 5), (11, 9)]"
"[K13a4326(0,0)]","[(0, 1), (1, 3), (1, 3), (11, 15)]"
"[K13a4327(0,0)]","[(0, 1), (1, 3), (1, 3), (5, 14)]"
"[K13a4329(0,0)]","[(0, 1), (1, 3), (1, 3), (7, 18)]"
"[K13a450(0,0)]","[(0, 1), (1, 2), (2, 3), (34, 21)]"
"[K13a451(0,0)]","[(0, 1), (1, 2), (2, 3), (14, 17)]"
"[K13a452(0,0)]","[(0, 1), (1, 2), (2, 3), (18, 23)]"
"[K13a453(0,0)]","[(0, 1), (1, 2), (2, 3), (18, 31)]"
"[K13a4534(0,0)]","[(0, 1), (1, 3), (1, 3), (9, 14)]"
"[K13a4537(0,0)]","[(0, 1), (1, 3), (4, 5), (4, 5)]"
"[K13a454(0,0)]","[(0, 1), (1, 2), (2, 3), (18, 25)]"
"[K13a4542(0,0)]","[(0, 1), (1, 3), (1, 3), (9, 13)]"
"[K13a455(0,0)]","[(0, 1), (1, 2), (2, 3), (14, 23)]"
"[K13a4553(0,0)]","[(0, 1), (1, 3), (1, 3), (13, 9)]"
"[K13a4554(0,0)]","[(0, 1), (1, 3), (1, 3), (15, 11)]"
"[K13a4558(0,0)]","[(0, 1), (1, 3), (1, 4), (6, 5)]"
"[K13a4559(0,0)]","[(0, 1), (1, 3), (1, 4), (10, 7)]"
"[K13a456(0,0)]","[(0, 1), (1, 2), (2, 3), (18, 29)]"
"[K13a4562(0,0)]","[(0, 1), (1, 3), (3, 4), (6, 5)]"
"[K13a4563(0,0)]","[(0, 1), (1, 3), (3, 4), (10, 7)]"
"[K13a4568(0,0)]","[(0, 1), (1, 3), (1, 3), (13, 4)]"
"[K13a4569(0,0)]","[(0, 1), (1, 3), (1, 3), (15, 4)]"
"[K13a457(0,0)]","[(0, 1), (1, 2), (2, 3), (3, 17)]"
"[K13a458(0,0)]","[(0, 1), (1, 2), (2, 3), (7, 25)]"
"[K13a460(0,0)]","[(0, 1), (1, 2), (2, 3), (11, 17)]"
"[K13a461(0,0)]","[(0, 1), (1, 2), (2, 3), (17, 27)]"
"[K13a462(0,0)]","[(0, 1), (1, 2), (2, 3), (5, 23)]"
"[K13a463(0,0)]","[(0, 1), (1, 2), (2, 3), (13, 31)]"
"[K13a464(0,0)]","[(0, 1), (1, 2), (2, 3), (9, 23)]"
"[K13a465(0,0)]","[(0, 1), (1, 2), (2, 3), (11, 29)]"
"[K13a466(0,0)]","[(0, 1), (1, 2), (2, 3), (22, 17)]"
"[K13a469(0,0)]","[(0, 1), (1, 2), (2, 3), (5, 19)]"
"[K13a472(0,0)]","[(0, 1), (1, 2), (2, 3), (30, 19)]"
"[K13a473(0,0)]","[(0, 1), (1, 2), (2, 3), (14, 25)]"
"[K13a4739(0,0)]","[(0, 1), (1, 3), (1, 3), (1, 3), (1, 4)]"
"[K13a474(0,0)]","[(0, 1), (1, 2), (2, 3), (14, 19)]"
"[K13a4740(0,0)]","[(0, 1), (1, 3), (1, 3), (1, 3), (3, 4)]"
"[K13a475(0,0)]","[(0, 1), (1, 2), (2, 3), (11, 25)]"
"[K13a476(0,0)]","[(0, 1), (1, 2), (2, 3), (22, 13)]"
"[K13a477(0,0)]","[(0, 1), (1, 2), (2, 3), (26, 15)]"
"[K13a478(0,0)]","[(0, 1), (1, 2), (2, 3), (13, 23)]"
"[K13a479(0,0)]","[(0, 1), (1, 2), (2, 3), (26, 19)]"
"[K13a4828(0,0)]","[(0, 1), (1, 3), (1, 3), (7, 6)]"
"[K13a4830(0,0)]","[(0, 1), (1, 3), (1, 3), (13, 10)]"
"[K13a4832(0,0)]","[(0, 1), (1, 3), (1, 3), (17, 10)]"
"[K13a4839(0,0)]","[(0, 1), (1, 3), (1, 3), (5, 11)]"
"[K13a4840(0,0)]","[(0, 1), (1, 3), (1, 3), (7, 17)]"
"[K13a4842(0,0)]","[(0, 1), (1, 3), (1, 3), (3, 13)]"
"[K13a4843(0,0)]","[(0, 1), (1, 3), (1, 3), (1, 7)]"
"[K13a4854(0,0)]","[(0, 1), (1, 3), (1, 3), (11, 6)]"
"[K13a486(0,0)]","[(0, 1), (1, 2), (2, 3), (7, 13)]"
"[K13a4865(0,0)]","[(0, 1), (1, 3), (1, 3), (17, 7)]"
"[K13a4869(0,0)]","[(0, 1), (1, 3), (1, 3), (11, 5)]"
"[K13a4870(0,0)]","[(0, 1), (1, 3), (3, 7), (3, 7)]"
"[K13a4871(0,0)]","[(0, 1), (1, 3), (3, 7), (1, 5)]"
"[K13a4873(0,0)]","[(0, 1), (1, 3), (1, 5), (1, 5)]"
"[K13a4876(0,0)]","[(0, 1), (1, 3), (1, 3), (13, 3)]"
"[K13a4877(0,0)]","[(0, 1), (1, 3), (1, 3), (1, 3), (4, 3)]"
"[K13a494(0,0)]","[(0, 1), (1, 2), (2, 3), (30, 11)]"
"[K13a495(0,0)]","[(0, 1), (1, 2), (2, 3), (34, 13)]"
"[K13a497(0,0)]","[(0, 1), (1, 2), (2, 3), (6, 17)]"
"[K13a498(0,0)]","[(0, 1), (1, 2), (2, 3), (10, 27)]"
"[K13a499(0,0)]","[(0, 1), (1, 2), (2, 3), (25, 11)]"
"[K13a5(0,0)]","[(0, 1), (1, 2), (3, 5), (9, 11)]"
"[K13a50(0,0)]","[(0, 1), (1, 2), (3, 5), (8, 21)]"
"[K13a500(0,0)]","[(0, 1), (1, 2), (2, 3), (29, 11)]"
"[K13a501(0,0)]","[(0, 1), (1, 2), (2, 3), (13, 7)]"
"[K13a502(0,0)]","[(0, 1), (1, 2), (2, 3), (23, 13)]"
"[K13a503(0,0)]","[(0, 1), (1, 2), (2, 3), (27, 17)]"
"[K13a504(0,0)]","[(0, 1), (1, 2), (2, 3), (31, 13)]"
"[K13a505(0,0)]","[(0, 1), (1, 2), (2, 3), (5, 7), (1, 3)]"
"[K13a506(0,0)]","[(0, 1), (1, 2), (2, 3), (26, 7)]"
"[K13a509(0,0)]","[(0, 1), (1, 2), (2, 3), (23, 9)]"
"[K13a51(0,0)]","[(0, 1), (1, 2), (3, 5), (4, 13)]"
"[K13a510(0,0)]","[(0, 1), (1, 2), (2, 3), (17, 11)]"
"[K13a52(0,0)]","[(0, 1), (1, 2), (3, 5), (4, 15)]"
"[K13a523(0,0)]","[(0, 1), (1, 2), (2, 3), (26, 11)]"
"[K13a524(0,0)]","[(0, 1), (1, 2), (2, 3), (3, 5), (5, 3)]"
"[K13a525(0,0)]","[(0, 1), (1, 2), (2, 3), (4, 5), (2, 3)]"
"[K13a526(0,0)]","[(0, 1), (1, 2), (2, 3), (4, 7), (2, 3)]"
"[K13a527(0,0)]","[(0, 1), (1, 2), (2, 3), (3, 5), (4, 3)]"
"[K13a528(0,0)]","[(0, 1), (1, 2), (2, 3), (4, 5), (1, 3)]"
