Name,Montesinos?,Montesinos fraction
10_128,Y,"[0, 1/2, -2/3, 3/7]"
10_129,Y,"[0, 1/2, 2/3, -4/7]"
10_130,Y,"[0, 1/2, -2/3, 4/7]"
10_131,Y,"[0, 1/2, 2/3, -3/7]"
10_132,Y,"[0, 1/2, -2/3, 2/7]"
10_133,Y,"[0, 1/2, 2/3, -5/7]"
10_134,Y,"[0, 1/2, -2/3, 5/7]"
10_135,Y,"[0, 1/2, 2/3, -2/7]"
10_136,Y,"[0, 1/2, -3/5, 2/5]"
10_137,Y,"[0, 1/2, 3/5, -3/5]"
10_138,Y,"[0, 1/2, 3/5, -2/5]"
10_139,Y,"[0, 2/3, -1/3, -1/4]"
10_140,Y,"[0, 2/3, -2/3, 1/4]"
10_141,Y,"[0, 2/3, 2/3, -3/4]"
10_142,Y,"[0, 2/3, -1/3, -3/4]"
10_143,Y,"[0, 2/3, -2/3, 3/4]"
10_144,Y,"[0, 2/3, 2/3, -1/4]"
10_145,Y,"[0, 2/3, -1/3, -2/5]"
10_146,Y,"[0, 2/3, 2/3, -3/5]"
10_147,Y,"[0, 2/3, -2/3, 3/5]"
10_148,N,n/a
10_149,N,n/a
10_150,N,n/a
10_151,N,n/a
10_152,N,n/a
10_153,N,n/a
10_154,N,n/a
10_155,N,n/a
10_156,N,n/a
10_157,N,n/a
10_158,N,n/a
10_159,N,n/a
10_160,N,n/a
10_161,N,n/a
10_162,N,n/a
10_163,N,n/a
10_164,N,n/a
10_165,N,n/a
11a_1,Y,"[1/2, 3/5, 5/7]"
11a_2,N,n/a
11a_3,N,n/a
11a_4,Y,"[1/2, 3/5, 2/7]"
11a_5,Y,"[1/2, 3/5, 7/5]"
11a_6,Y,"[1/2, 3/5, 8/5]"
11a_7,Y,"[1/2, 3/5, 4/5]"
11a_8,Y,"[1/2, 3/5, 4/7]"
11a_9,Y,"[1/2, 3/5, 1/5]"
11a_10,Y,"[1/2, 3/5, 3/7]"
11a_11,Y,"[1/2, 2/3, 13/5]"
11a_12,Y,"[1/2, 1/3, 13/5]"
11a_13,N,n/a
11a_14,N,n/a
11a_15,N,n/a
11a_16,Y,"[1/2, 2/3, 7/9]"
11a_17,N,n/a
11a_18,N,n/a
11a_19,N,n/a
11a_20,N,n/a
11a_21,Y,"[1/2, 2/3, 2/9]"
11a_22,N,n/a
11a_23,Y,"[1/2, 2/3, 9/7]"
11a_24,N,n/a
11a_25,N,n/a
11a_26,N,n/a
11a_27,N,n/a
11a_28,N,n/a
11a_29,N,n/a
11a_30,N,n/a
11a_31,Y,"[1/2, 2/3, 8/11]"
11a_32,Y,"[1/2, 2/3, 8/13]"
11a_33,Y,"[1/2, 2/3, 3/11]"
11a_34,Y,"[1/2, 2/3, 7/11]"
11a_35,Y,"[1/2, 2/3, 5/13]"
11a_36,Y,"[1/2, 2/3, 12/7]"
11a_37,Y,"[1/2, 2/3, 5/9]"
11a_38,N,n/a
11a_39,Y,"[1/2, 2/3, 4/11]"
11a_40,Y,"[1/2, 2/3, 9/5]"
11a_41,Y,"[1/2, 2/3, 11/7]"
11a_42,Y,"[1/2, 2/3, 12/5]"
11a_43,Y,"[1/2, 2/3, 2/3, 2/3]"
11a_44,Y,"[1/2, 2/3, 2/3, 1/3]"
11a_45,Y,"[1/2, 2/3, 4/9]"
11a_46,Y,"[1/2, 2/3, 11/3]"
11a_47,Y,"[1/2, 2/3, 1/3, 2/3]"
11a_48,Y,"[1/2, 2/5, 5/7]"
11a_49,N,n/a
11a_50,Y,"[1/2, 2/5, 2/7]"
11a_51,Y,"[1/2, 2/5, 7/5]"
11a_52,N,n/a
11a_53,N,n/a
11a_54,N,n/a
11a_55,Y,"[1/2, 2/3, 6/5]"
11a_56,Y,"[1/2, 2/3, 10/7]"
11a_57,Y,"[1/2, 2/3, 1/3, 1/3]"
11a_58,Y,"[1/2, 2/3, 10/3]"
