Name,Unknotting,Genus,Bridge,Nakanishi,Tunnel,Symmetry type,Symmetry group,Montesinos?,Montesinos fractions
10_78,2,3,3,1,1,reversible,D2,Y,"['1/2', '2/3', '8/3']"
10_79,[2; 3],4,3,1,2,negative amphicheiral,D1,N,['n/a']
10_80,3,3,3,1,2,chiral,1,N,['n/a']
10_81,2,3,3,1,2,negative amphicheiral,D1,N,['n/a']
10_82,1,4,3,1,2,chiral,1,N,['n/a']
10_83,2,3,3,1,2,chiral,1,N,['n/a']
10_84,1,3,3,1,2,chiral,1,N,['n/a']
10_85,2,4,3,1,2,chiral,1,N,['n/a']
10_86,2,3,3,1,2,chiral,1,N,['n/a']
10_87,2,3,3,1,2,chiral,1,N,['n/a']
10_88,1,3,3,1,2,negative amphicheiral,D1,N,['n/a']
10_89,2,3,3,1,2,reversible,D1,N,['n/a']
10_90,2,3,3,1,2,chiral,1,N,['n/a']
10_91,1,4,3,1,2,chiral,1,N,['n/a']
10_92,2,3,3,1,2,chiral,1,N,['n/a']
10_93,2,3,3,1,2,chiral,1,N,['n/a']
10_94,2,4,3,1,2,chiral,1,N,['n/a']
10_95,1,3,3,1,2,chiral,1,N,['n/a']
10_96,2,3,3,1,2,reversible,D1,N,['n/a']
10_97,2,2,3,1,2,reversible,D1,N,['n/a']
10_98,2,3,3,2,2,chiral,Z2,N,['n/a']
10_99,2,4,3,2,2,fully amphicheiral,D2,N,['n/a']
10_100,[2; 3],4,3,1,2,reversible,D1,N,['n/a']
10_101,3,2,3,2,2,reversible,D1,N,['n/a']
10_102,1,3,3,1,2,chiral,1,N,['n/a']
10_103,3,3,3,2,2,reversible,D1,N,['n/a']
10_104,1,4,3,1,2,reversible,D1,N,['n/a']
10_105,2,3,3,1,2,reversible,D1,N,['n/a']
10_106,2,4,3,1,2,chiral,1,N,['n/a']
10_107,1,3,3,1,2,chiral,1,N,['n/a']
10_108,2,3,3,1,2,reversible,D1,N,['n/a']
10_109,2,4,3,1,2,negative amphicheiral,D1,N,['n/a']
10_110,2,3,3,1,2,chiral,1,N,['n/a']
10_111,2,3,3,1,2,reversible,D1,N,['n/a']
10_112,2,4,3,1,2,reversible,D1,N,['n/a']
10_113,1,3,3,1,2,reversible,D1,N,['n/a']
10_114,1,3,3,1,2,reversible,D1,N,['n/a']
